id,limit_bal,sex,education,marriage,age,default_payment_next_month,total_bill,total_pay,repayment_status
168,100000,1,2,1,27,0,310089,55906,0
169,90000,2,2,1,35,0,472951,24652,2
170,50000,2,2,2,22,0,171359,6795,0
171,270000,1,2,2,37,0,180209,19000,0
172,300000,2,1,2,30,0,11780,11846,-1
173,50000,2,2,2,22,0,53787,31149,0
174,50000,2,1,2,24,1,-11569,0,-2
175,360000,1,1,2,29,0,77,77,-2
177,80000,1,1,2,30,0,15624,6004,0
178,50000,1,2,2,30,0,220483,6500,2
179,20000,2,2,2,22,0,83914,6913,0
180,80000,2,2,1,29,0,323559,8800,0
181,240000,1,1,2,37,0,118261,84191,-1
182,80000,2,3,2,35,0,129487,29000,0
184,60000,2,2,1,24,1,222443,10837,0
185,20000,1,2,2,25,0,50904,5353,-1
186,100000,2,2,1,38,1,92351,5600,0
189,130000,2,2,1,34,0,57742,17397,0
190,20000,2,2,2,31,0,125792,1760,2
191,310000,1,1,2,32,0,353740,40419,0
192,60000,2,1,2,27,1,130018,6752,0
193,180000,2,1,2,29,0,45854,22881,0
194,180000,2,1,2,24,0,68239,38067,-2
195,50000,1,2,1,36,0,84870,26511,-1
196,50000,2,1,2,24,1,228759,8132,2
197,150000,2,2,1,34,0,1616,1616,-2
198,20000,2,1,2,22,0,103511,24766,0
199,500000,2,1,1,34,0,6457,21861,-1
200,30000,2,3,2,22,1,117854,2903,0
201,180000,2,1,1,38,0,750,0,-2
202,140000,1,1,2,31,0,130872,38300,2
203,140000,2,1,2,26,0,64236,49839,-1
204,120000,1,2,2,26,0,688894,29152,0
205,360000,2,2,1,48,0,1202779,37500,0
206,20000,1,3,1,43,0,98941,31538,0
207,100000,1,1,1,47,0,3033,5023,-1
208,210000,2,2,1,41,1,9657,6988,-1
209,80000,2,2,2,24,1,391407,13838,0
210,330000,2,1,1,50,0,19462,10868,-2
212,210000,2,1,1,38,1,2384,11877,-1
213,40000,2,3,1,43,0,215945,8404,0
214,30000,1,2,2,39,0,103603,8493,0
216,30000,1,3,1,42,0,3510,2490,2
217,240000,2,2,1,36,1,-5676,0,-2
218,80000,1,2,2,36,0,470809,19500,0
219,110000,2,3,0,31,0,453847,26954,0
220,310000,2,1,2,38,0,6092,4668,-2
223,300000,2,2,2,35,0,1431315,74582,0
224,320000,2,2,2,33,0,437268,41866,0
225,50000,2,3,2,37,1,243968,34317,0
226,170000,2,1,2,28,0,772102,48549,0
227,350000,1,3,1,44,0,8384,5119,-2
228,20000,1,2,1,37,0,108461,7564,0
229,50000,1,2,2,23,1,202501,9074,0
230,20000,2,3,2,24,0,63912,5133,0
231,50000,2,1,2,24,0,132930,6732,0
232,20000,1,2,2,23,1,94656,13200,0
233,50000,1,2,1,26,0,197548,51938,0
235,60000,2,2,1,33,0,175794,5935,0
236,80000,1,1,2,35,0,41852,36293,-1
237,150000,2,2,2,27,0,399780,12625,0
238,210000,2,1,2,31,0,18130,19989,-1
240,140000,2,2,3,41,1,115854,13597,0
241,60000,2,1,2,28,0,44436,2285,-1
242,50000,1,1,2,39,0,241244,12800,0
243,50000,2,2,2,27,0,169234,7950,0
244,180000,2,1,2,32,0,14634,5818,-1
245,30000,2,1,2,40,0,613,595,2
246,20000,2,2,2,40,0,79889,5918,-2
247,250000,2,2,1,75,0,63417,11727,-1
248,100000,2,2,2,27,0,196498,8260,0
249,330000,1,1,2,25,0,256005,15230,0
250,50000,1,3,1,46,0,117871,7027,0
251,50000,2,2,2,26,0,240862,10062,0
252,30000,1,2,2,28,0,135160,8056,0
253,140000,2,2,2,26,1,631439,25041,0
254,160000,2,1,2,28,0,337391,132311,0
255,400000,2,2,2,29,0,34030,14825,-1
256,50000,1,2,1,25,0,173552,6842,0
257,140000,2,2,1,48,0,27095,27501,-1
258,160000,2,2,1,33,0,82207,68661,-1
259,100000,2,3,1,43,0,62170,0,-2
261,510000,2,1,2,29,0,513211,160470,0
262,50000,1,2,2,29,0,202201,16512,0
263,160000,2,1,1,38,0,63277,44142,-1
264,230000,2,1,2,37,0,53735,51952,-2
265,80000,2,1,2,37,0,35054,28957,-1
266,150000,2,2,1,25,0,7104,1264,-1
267,10000,1,3,2,23,0,52136,3932,2
268,130000,2,3,2,49,1,357781,9986,0
269,40000,2,1,2,48,0,207975,9200,0
270,50000,1,2,2,27,1,73717,6631,-1
271,100000,1,3,2,32,0,180209,9686,0
272,120000,1,1,1,34,0,4414,1800,0
273,260000,2,1,2,58,1,0,0,-2
274,200000,2,2,2,33,0,80871,11522,0
275,360000,2,2,2,28,1,0,0,-2
276,70000,2,2,2,36,0,265753,28247,0
277,460000,1,1,1,40,1,28039,27927,-1
278,50000,2,1,2,26,0,2736,1896,-1
279,50000,1,3,1,33,0,211791,7004,0
280,250000,2,2,1,31,0,604011,26900,0
281,30000,2,1,2,27,0,6448,3164,-2
282,270000,1,2,1,44,0,486594,144214,-1
283,180000,2,3,2,30,0,760211,27192,0
284,100000,2,1,2,28,0,323182,20198,0
285,230000,2,3,1,32,0,667517,29000,0
286,210000,2,1,1,46,0,211039,120470,-1
287,210000,1,1,2,38,0,358970,13804,0
288,440000,2,2,1,46,0,828179,29746,0
289,100000,2,2,2,25,1,403638,13210,0
290,240000,2,2,1,46,0,56097,6295,0
291,280000,1,1,2,33,1,-336259,347739,-1
292,50000,2,2,2,22,1,0,0,-2
293,30000,1,2,1,43,0,12972,2000,2
294,10000,1,2,2,27,1,56848,5470,0
295,130000,1,1,2,29,0,0,1500,-2
296,200000,1,1,2,31,0,978958,36425,0
297,120000,2,2,1,29,0,7765,8715,-1
298,210000,2,2,1,36,0,858448,32709,0
299,280000,2,1,1,36,0,273640,11718,0
300,300000,1,1,2,34,1,45400,32799,-1
301,100000,1,2,2,37,0,462851,15303,0
303,50000,2,3,1,40,0,154301,7606,0
304,20000,2,1,2,25,1,98447,11500,0
305,200000,2,1,2,27,0,18236,12927,0
306,110000,2,2,2,26,0,12860,12124,-2
307,500000,2,2,1,36,0,47529,37052,-1
308,300000,2,2,1,27,0,5215,5215,-2
310,60000,2,1,2,27,0,65912,47111,-1
311,400000,2,2,1,38,0,21153,19153,-1
312,180000,2,2,1,34,0,827666,32000,0
313,20000,1,1,2,40,0,79047,10600,0
314,200000,2,3,1,49,1,333047,16286,0
315,100000,1,1,2,27,0,194503,4871,0
316,60000,1,2,2,23,1,171532,8013,0
317,110000,2,2,2,36,0,303817,13500,0
318,260000,2,3,1,53,0,2025,2484,-1
319,50000,2,3,1,46,0,213516,7372,0
320,180000,1,2,2,29,0,-12,0,-2
321,110000,1,2,2,29,1,311346,10354,0
322,340000,2,1,2,27,0,923137,90147,0
323,50000,1,2,2,24,0,31650,11019,0
324,230000,2,2,1,28,1,55327,11750,-1
325,360000,2,2,2,32,0,575409,57000,0
326,210000,1,2,2,43,0,160699,52013,0
327,220000,2,2,1,41,1,3375,1925,-1
328,60000,2,2,1,34,1,170082,10111,0
331,200000,2,2,1,37,1,47390,51400,-1
332,130000,2,2,2,40,1,66514,7200,0
333,60000,2,1,2,28,0,96266,30696,0
335,20000,1,1,2,27,0,116747,5503,0
336,190000,2,1,2,28,0,912875,36836,0
337,260000,2,1,2,30,0,953100,44000,0
338,140000,2,2,2,31,0,390,0,-2
339,50000,2,2,1,31,1,234080,10607,0
340,120000,2,1,2,34,0,16986,20204,-1
341,240000,2,2,2,30,0,368,2159,-2
342,50000,1,2,2,36,0,18847,3390,0
343,200000,2,1,2,29,0,76669,31055,2
345,180000,2,1,2,26,0,734847,26710,0
346,160000,2,1,2,29,0,9832,24500,0
347,100000,2,2,2,26,0,19223,13974,0
348,50000,2,2,2,29,1,273459,13000,0
349,140000,2,2,2,31,0,839924,34500,0
350,30000,2,2,2,26,1,117890,6064,0
351,90000,1,1,2,26,0,86582,31842,-1
353,380000,1,1,2,30,1,0,0,-2
354,80000,2,2,2,43,0,303152,12045,0
355,50000,1,3,1,58,0,109216,6673,2
356,180000,1,2,1,45,1,177278,8781,0
357,240000,2,2,2,26,0,724940,27398,0
358,380000,1,2,2,34,0,1082561,64410,0
359,110000,2,4,2,24,0,487656,19300,0
360,260000,1,1,1,34,0,137687,121666,-1
362,320000,2,2,2,30,0,436318,15669,0
363,50000,1,2,2,32,0,248859,5485,0
364,110000,1,1,1,40,1,4498,2564,-1
365,230000,2,1,2,35,0,3314,3073,-2
366,330000,2,2,1,56,0,15640,16061,-1
367,50000,2,2,1,61,0,218302,10251,0
368,10000,1,2,2,24,0,14752,1650,0
369,300000,1,1,1,40,0,0,0,-2
370,20000,2,2,1,32,1,93331,3190,0
371,180000,1,2,1,36,1,83538,0,-2
372,160000,1,1,2,30,0,61480,119926,-1
373,90000,2,1,2,34,0,253776,20640,2
374,30000,1,3,3,54,0,141140,12000,0
376,30000,1,3,1,58,0,126272,8016,0
377,30000,1,2,1,43,0,132258,7488,2
378,140000,2,1,2,28,0,45024,35946,-1
379,210000,1,1,2,30,0,327465,25500,0
380,50000,1,2,2,31,1,83951,16327,0
381,130000,2,2,2,29,0,472379,20500,0
382,50000,2,2,1,37,1,16397,3500,0
383,140000,1,3,1,36,0,538393,47700,0
384,170000,2,2,2,28,1,29372,3899,0
385,80000,1,2,2,25,0,107251,18103,-2
387,80000,2,1,2,29,0,80000,80000,-2
389,150000,1,2,1,43,0,944099,36834,0
391,350000,1,1,1,38,0,0,0,-2
392,280000,2,2,1,39,1,174954,48684,0
393,310000,1,2,1,44,0,503434,20078,0
394,140000,2,2,2,29,0,118369,16500,0
395,360000,1,1,1,51,0,63000,25000,-2
396,140000,2,1,2,27,0,858345,43600,0
397,100000,1,1,2,38,0,240783,5141,0
398,50000,2,2,2,22,0,1480,1480,-2
399,210000,2,2,1,30,0,567259,23202,0
402,60000,2,3,3,42,0,185007,9885,0
403,150000,1,1,2,41,1,7098,5291,2
404,30000,1,2,1,48,0,161543,8942,0
407,120000,2,2,1,25,0,47869,6000,-2
409,320000,2,1,2,27,0,365115,67601,0
410,280000,1,1,2,31,0,1043732,42823,0
411,60000,2,1,2,23,1,185629,8209,2
412,200000,2,1,1,38,0,257,517,-2
413,230000,2,1,1,32,0,11600,11611,-1
414,230000,2,2,2,27,1,64332,7441,0
416,50000,2,3,1,35,0,27500,5640,-2
417,200000,2,1,2,31,0,23286,19872,-2
418,50000,2,1,2,30,0,104694,7800,2
419,50000,1,2,1,48,0,180417,15461,0
420,260000,2,1,2,36,1,0,0,-2
421,30000,1,1,2,24,0,166661,8607,2
422,440000,2,1,2,29,0,962256,42156,0
423,230000,2,2,2,38,0,17733,9709,-1
424,200000,1,2,1,38,1,613953,20500,0
425,490000,2,2,1,30,0,1185021,43181,0
426,80000,2,2,1,32,0,11262,0,-2
427,20000,2,3,2,49,1,79043,10123,0
428,170000,2,1,2,31,1,1393,1393,-1
429,70000,1,1,2,27,0,293401,36641,0
430,210000,2,2,2,33,0,762633,24500,0
431,90000,2,2,2,25,0,465009,18601,0
433,110000,2,1,2,29,0,304292,13557,0
434,580000,2,1,1,36,0,994160,36784,0
435,360000,1,3,1,55,0,36696,25244,-2
437,60000,2,1,2,27,0,14672,650,-1
438,110000,1,3,1,37,0,367490,13600,0
439,50000,2,1,1,25,0,235192,8773,0
440,80000,2,1,2,23,1,339098,49268,0
441,50000,1,2,2,23,0,28024,16630,0
442,100000,1,1,2,32,0,531060,21237,2
443,30000,2,1,2,26,0,4137,4137,-1
444,200000,2,1,2,27,0,730818,34070,0
446,220000,1,2,2,34,0,160668,6300,0
447,160000,2,1,2,28,0,601165,19300,0
448,180000,2,1,1,53,0,83747,32279,-1
449,200000,1,4,1,42,0,170347,12043,0
450,140000,2,3,1,30,0,461266,27121,0
451,380000,1,1,1,51,1,0,0,-2
453,260000,1,2,2,37,0,935929,168022,0
454,200000,2,1,2,26,0,162165,7394,-2
455,80000,1,2,2,42,0,331586,61032,0
456,40000,1,2,2,39,0,124960,14049,-1
457,130000,1,3,2,39,0,439958,18000,2
458,50000,1,1,2,32,0,99206,5000,-2
459,230000,2,2,1,41,0,48732,59373,-1
460,70000,1,2,1,48,1,156587,14807,-1
461,180000,2,2,1,38,0,838496,36029,0
462,80000,2,2,1,36,0,28137,28667,-1
463,290000,2,2,2,26,0,248603,115536,0
464,230000,2,1,2,28,0,564897,144032,0
465,170000,2,3,3,56,0,2141,2755,-1
468,230000,1,2,2,32,0,142857,5236,0
469,500000,1,2,1,38,0,300881,99568,0
470,90000,2,1,1,41,0,19471,14731,-1
473,180000,1,2,1,34,0,11563,11076,-1
474,60000,1,3,1,38,0,192042,9500,2
475,120000,2,2,1,32,0,19210,20172,-1
476,60000,2,2,2,29,0,167658,6820,0
477,50000,1,1,2,44,0,195918,7869,0
478,70000,2,2,1,37,0,380598,14935,0
479,500000,2,1,1,38,0,2751,2301,0
480,200000,1,1,2,31,0,0,0,-2
483,70000,2,2,2,28,0,169724,10806,2
484,90000,1,3,1,48,0,411870,14486,2
485,100000,2,2,1,43,0,10198,9818,-1
486,190000,1,2,1,31,0,894199,29086,0
487,230000,2,1,1,42,0,52633,45768,-1
488,320000,1,2,1,39,0,556223,23059,0
489,220000,2,2,1,36,1,4024,4024,-1
490,260000,2,1,1,34,0,37990,29865,-1
491,90000,2,2,2,32,0,573,157,-2
492,30000,2,2,1,43,0,144207,4610,0
493,260000,1,2,2,30,0,668040,22116,0
494,170000,2,2,2,28,0,46228,4308,-2
495,80000,2,1,1,28,1,58976,3476,0
496,50000,1,1,1,41,0,2336,4250,-1
497,200000,2,3,2,47,0,1196650,43749,0
498,20000,1,2,2,23,0,123892,10465,0
499,250000,2,1,1,49,0,1819,1771,-1
500,20000,1,1,1,38,0,114642,7939,0
501,30000,2,2,1,38,0,138451,8200,2
502,90000,2,2,1,35,0,162740,12500,2
504,130000,2,1,1,33,1,107017,5000,0
505,30000,1,6,1,53,0,0,0,-2
506,160000,1,1,2,35,0,3200,2805,-1
508,180000,2,2,2,28,0,226042,10128,2
509,80000,2,2,1,30,0,75825,4800,2
510,120000,1,1,2,26,0,11330,10446,-2
511,130000,1,2,1,31,0,6514,5643,2
512,120000,2,2,2,35,1,1440,1440,-1
513,360000,1,1,2,28,0,132271,116088,-1
514,50000,1,2,2,23,1,189259,8800,2
515,20000,2,2,2,23,0,103607,4938,0
516,100000,1,3,1,56,0,472054,99730,0
517,70000,1,3,1,32,0,415116,19970,0
518,50000,1,2,1,47,0,108988,11797,0
519,10000,2,2,2,22,0,59270,4607,0
520,290000,2,1,1,34,0,624930,39000,0
521,30000,2,1,1,31,0,110402,7645,0
522,410000,2,2,2,27,0,237536,96874,0
524,140000,2,2,1,42,1,501478,27167,0
525,210000,2,1,2,32,0,427893,17600,0
526,220000,2,2,2,27,0,20097,171909,-1
527,20000,1,2,2,27,0,116201,4500,2
529,360000,1,1,2,26,0,4245,4298,-1
530,20000,2,2,2,21,0,52614,36511,-1
531,50000,1,2,2,23,0,129497,28536,0
532,50000,1,2,3,30,0,218334,6935,0
533,10000,1,2,2,46,1,36955,3766,0
535,50000,1,1,2,26,0,11223,9519,-2
536,60000,1,2,2,25,0,17388,14013,0
538,120000,1,2,1,44,0,421362,14449,0
539,50000,2,1,2,52,0,7741,1318,-1
540,110000,2,2,1,40,0,576533,23100,2
541,200000,2,1,2,38,0,887,805,-1
542,150000,2,1,2,28,0,318,318,-1
543,30000,2,2,1,36,1,169630,4700,0
544,100000,2,1,2,24,0,164636,51245,-1
545,360000,2,1,1,34,0,58482,40069,-1
546,390000,2,1,2,31,0,284264,23000,0
547,220000,2,1,1,41,1,-525,0,-2
548,160000,2,2,2,25,0,0,0,-2
549,230000,2,1,2,28,0,63456,25923,0
550,120000,1,1,2,27,0,246395,27524,0
551,100000,1,3,1,52,1,37706,7500,0
552,190000,2,1,2,41,1,72112,43854,-1
553,50000,1,1,1,56,1,219191,9617,0
554,240000,2,1,1,42,0,6370,6370,-2
555,40000,2,2,2,24,0,223518,10159,-2
556,630000,2,2,1,47,0,118530,55661,-2
557,160000,2,1,1,33,0,13149,9074,-2
558,110000,2,2,2,32,0,463018,29300,2
559,20000,1,2,2,29,0,35627,2055,-2
560,210000,2,3,1,53,0,362544,14975,0
561,270000,1,1,2,34,0,57523,43455,-1
562,360000,2,2,2,52,0,4687,4973,-2
563,60000,2,2,1,42,0,9651,9750,-1
564,360000,1,2,2,38,0,477607,136709,0
565,390000,2,1,2,45,0,9583,9874,2
566,250000,2,3,2,35,0,37633,43951,-2
567,90000,2,1,2,24,1,107492,12884,0
568,360000,1,1,2,28,0,37909,48124,-1
569,50000,1,3,2,26,0,155313,6685,0
570,270000,2,1,1,40,0,24457,1000,-2
571,200000,2,1,2,29,0,93578,38096,-1
572,50000,2,2,2,23,0,194735,9496,0
573,350000,1,1,2,33,0,25844,15084,-1
574,160000,2,2,2,60,1,14048,10431,-1
575,80000,2,3,1,49,0,26122,30745,-1
577,270000,2,1,2,28,0,143620,77166,0
578,80000,1,1,2,31,0,55230,30128,-1
579,50000,1,2,2,36,0,38925,5400,0
580,30000,1,2,1,35,0,24623,16882,-2
581,30000,1,2,2,28,1,780,780,-2
582,90000,1,2,2,33,0,195738,46487,0
583,160000,1,1,2,26,0,67573,72407,-1
584,80000,2,3,2,53,0,410262,15881,0
585,50000,1,2,2,42,0,245027,7200,0
586,20000,2,1,2,25,0,99055,5900,2
587,220000,1,1,1,43,1,0,0,-2
588,210000,1,3,2,25,1,67409,44925,-1
589,130000,2,2,2,29,0,535030,18011,0
590,260000,2,2,1,31,0,194136,159300,-1
591,230000,2,1,1,30,0,254314,89840,0
592,160000,1,1,2,34,0,512342,20862,0
593,50000,1,1,1,35,0,77061,7220,0
594,80000,1,2,1,32,0,261480,18017,0
595,110000,1,3,2,46,0,356592,14882,0
596,200000,1,1,1,43,0,826110,29861,0
598,210000,2,3,2,31,0,0,0,-2
599,80000,2,2,2,24,0,389365,18249,0
600,300000,2,2,1,36,1,79766,88921,-1
601,310000,2,2,1,43,0,148678,6310,0
602,30000,1,3,1,59,1,3270,2880,-1
603,170000,1,1,1,53,0,103181,4616,0
604,140000,2,2,2,28,0,172568,9001,2
605,180000,2,2,2,31,0,0,1576,-2
606,50000,1,1,2,34,0,142053,5930,2
607,50000,2,2,1,36,0,34423,3001,-2
608,110000,2,1,2,24,0,235819,17000,0
609,450000,2,3,1,36,0,31012,30254,-2
610,200000,2,2,1,34,0,2511,2511,-1
611,220000,1,1,2,43,0,154835,99542,-1
612,360000,2,1,2,29,1,5930,2650,-1
613,50000,1,2,1,37,0,278195,11285,0
614,40000,1,2,2,23,0,175916,6117,0
616,150000,1,1,2,33,0,119769,13237,0
617,200000,2,1,1,37,0,595,2965,-1
618,270000,2,2,1,56,0,683049,26353,0
619,60000,1,1,2,25,0,269005,11318,0
620,200000,2,2,1,39,0,443849,16680,0
621,150000,2,2,1,39,0,204705,15500,0
622,180000,2,2,2,28,0,2170,3030,-1
623,90000,2,1,2,27,0,7624,0,-2
624,360000,2,2,1,37,0,707,4977,-1
625,90000,2,1,2,24,0,491,0,-2
626,20000,2,2,2,24,0,89220,5646,0
627,70000,1,1,1,46,0,318796,13340,0
628,230000,1,1,1,39,0,3960,3960,-1
629,30000,1,3,1,48,0,175863,7283,0
630,200000,2,3,3,45,0,35587,36184,-1
631,100000,1,3,2,49,0,1440,0,-2
632,50000,2,2,2,23,0,181591,12000,2
633,20000,2,3,1,25,0,45038,3459,-2
634,210000,2,2,1,47,0,0,0,-2
635,110000,1,3,1,56,0,193115,17177,0
636,20000,2,3,1,44,0,1006,456,-2
637,50000,2,3,1,49,0,36792,6757,0
638,50000,1,2,1,41,0,121995,5330,0
640,170000,1,2,2,31,0,334688,17000,0
641,280000,1,2,1,42,0,882943,35867,0
642,130000,2,3,1,28,0,200599,3500,-2
643,210000,2,2,2,32,0,336057,29500,0
644,370000,1,2,2,28,0,817955,58000,0
645,30000,2,2,1,31,0,127602,6942,0
647,60000,1,3,1,31,1,70689,1027,-2
648,80000,2,2,2,24,0,392216,15686,0
651,270000,1,1,2,32,0,1000,1400,-2
652,240000,2,2,2,26,0,59161,38813,-1
653,20000,2,1,2,22,0,115711,6901,0
655,10000,1,2,2,33,0,49507,8145,0
656,280000,1,2,1,39,1,24054,25643,-2
657,290000,2,3,2,27,0,55487,6300,-1
658,190000,2,1,2,28,1,273617,13500,0
659,80000,2,1,2,23,0,127112,11076,-1
660,280000,2,2,2,28,0,7540,6230,-1
661,160000,2,1,1,33,0,68180,55935,-2
662,90000,1,2,1,40,1,90025,5358,-1
663,140000,2,1,2,37,0,41544,40510,-1
664,50000,1,1,2,22,0,29567,4180,-1
665,40000,2,2,1,32,0,167564,9810,2
666,130000,2,3,1,43,0,652165,25021,0
667,70000,2,3,1,27,0,378784,14964,2
668,30000,2,2,1,35,0,155444,8281,0
670,20000,2,1,1,30,1,43329,3500,0
671,30000,2,2,2,34,0,275375,76230,2
